,Product,Year,Month,Price Mean,Volume kg,Avg Weight,Penetración (%),Per Capita Consum,P_origen,Value,Cases,Deaths,Cases + Deaths
83,AJO,2018,2,1.6643856662916667,2532.72,4.26,34.95,0.06,Portugal,9946,0.0,0.0,0.0
84,AJO,2018,2,1.6643856662916667,2532.72,4.26,34.95,0.06,Romania,193,0.0,0.0,0.0
85,AJO,2018,2,1.6643856662916667,2532.72,4.26,34.95,0.06,Slovakia,301,0.0,0.0,0.0
86,AJO,2018,2,1.6643856662916667,2532.72,4.26,34.95,0.06,Slovenia,31,0.0,0.0,0.0
87,AJO,2018,2,1.6643856662916667,2532.72,4.26,34.95,0.06,Spain,0,0.0,0.0,0.0
88,AJO,2018,2,1.6643856662916667,2532.72,4.26,34.95,0.06,Sweden,1251,0.0,0.0,0.0
89,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Austria,989,0.0,0.0,0.0
90,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Belgium,2457,0.0,0.0,0.0
91,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Bulgaria,230,0.0,0.0,0.0
92,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Croatia,142,0.0,0.0,0.0
93,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Cyprus,0,0.0,0.0,0.0
94,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Czechia,4587,0.0,0.0,0.0
95,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Denmark,925,0.0,0.0,0.0
96,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Estonia,0,0.0,0.0,0.0
97,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Finland,519,0.0,0.0,0.0
98,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,France,17052,0.0,0.0,0.0
99,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Germany,8882,0.0,0.0,0.0
100,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Greece,625,0.0,0.0,0.0
101,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Hungary,59,0.0,0.0,0.0
102,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Ireland,566,0.0,0.0,0.0
103,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Italy,12849,0.0,0.0,0.0
104,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Latvia,346,0.0,0.0,0.0
105,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Lithuania,10,0.0,0.0,0.0
106,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Luxembourg,0,0.0,0.0,0.0
107,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Malta,87,0.0,0.0,0.0
108,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Netherlands,1793,0.0,0.0,0.0
109,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Poland,4033,0.0,0.0,0.0
110,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Portugal,12181,0.0,0.0,0.0
111,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Romania,309,0.0,0.0,0.0
112,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Slovakia,723,0.0,0.0,0.0
113,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Slovenia,68,0.0,0.0,0.0
114,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Spain,0,0.0,0.0,0.0
115,AJO,2018,3,1.76924456321875,2990.09,4.11,39.63,0.07,Sweden,1583,0.0,0.0,0.0
116,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Austria,789,0.0,0.0,0.0
117,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Belgium,1348,0.0,0.0,0.0
118,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Bulgaria,0,0.0,0.0,0.0
119,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Croatia,190,0.0,0.0,0.0
120,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Cyprus,0,0.0,0.0,0.0
121,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Czechia,2759,0.0,0.0,0.0
122,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Denmark,980,0.0,0.0,0.0
123,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Estonia,0,0.0,0.0,0.0
124,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Finland,363,0.0,0.0,0.0
125,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,France,15609,0.0,0.0,0.0
126,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Germany,9191,0.0,0.0,0.0
127,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Greece,323,0.0,0.0,0.0
128,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Hungary,12,0.0,0.0,0.0
129,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Ireland,185,0.0,0.0,0.0
130,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Italy,12422,0.0,0.0,0.0
131,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Latvia,172,0.0,0.0,0.0
132,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Lithuania,12,0.0,0.0,0.0
133,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Luxembourg,0,0.0,0.0,0.0
134,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Malta,175,0.0,0.0,0.0
135,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Netherlands,1297,0.0,0.0,0.0
136,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Poland,1975,0.0,0.0,0.0
137,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Portugal,15683,0.0,0.0,0.0
138,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Romania,240,0.0,0.0,0.0
139,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Slovakia,662,0.0,0.0,0.0
140,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Slovenia,110,0.0,0.0,0.0
141,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Spain,0,0.0,0.0,0.0
142,AJO,2018,4,1.6982851612647059,2771.72,4.18,36.05,0.06,Sweden,1204,0.0,0.0,0.0
143,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Austria,889,0.0,0.0,0.0
144,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Belgium,1907,0.0,0.0,0.0
145,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Bulgaria,0,0.0,0.0,0.0
146,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Croatia,191,0.0,0.0,0.0
147,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Cyprus,0,0.0,0.0,0.0
148,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Czechia,4095,0.0,0.0,0.0
149,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Denmark,2242,0.0,0.0,0.0
150,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Estonia,0,0.0,0.0,0.0
151,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Finland,356,0.0,0.0,0.0
152,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,France,15866,0.0,0.0,0.0
153,AJO,2018,5,1.6975923858717947,2681.02,4.05,36.57,0.06,Germany,9338,0.0,0.0,0.0
